Issue Severity,Endpoint,Section,Tree,Field Path,Field Name,Type,YML Description,Real Description (from code),Code Reference,Match?,Notes
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,action,action,action,string,"Action name.","Fixed value 'CALCULATE_DISCOUNTS'. Identifies the request type to the external discounts system. Defined in TicketUtils.js → getCalculateDiscountsAction().","TicketUtils.js#L75 → getCalculateDiscountsAction() devuelve 'CALCULATE_DISCOUNTS'; TicketUtils.js#L230 → buildRequest() lo asigna a commonRequestData.action",Parcial,"La descripción del YML es genérica ('Action name'). En realidad siempre es el valor fijo 'CALCULATE_DISCOUNTS' para este endpoint."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,terminal,terminal,terminal,object,"Common terminal object (injected from commonClientAPIProperties-schema)","Terminal object built in createRequestHeader() with terminal.searchKey, context.user.username, terminal.language_string, terminal.groupBusinessUnitSK, terminal.terminalType.name.","TicketUtils.js#L196-L203 → createRequestHeader() construye terminal con ID, operator, locale, businessUnit, touchpointType",OK,"Descripción correcta. Se inyecta desde el schema común."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,serviceId,serviceId,serviceId,string,"Common service ID (injected from commonClientAPIProperties-schema)","Random 10-digit ID generated with crypto.getRandomValues(). Uniquely identifies each call.","TicketUtils.js#L189-L192 → createServiceID() genera array de 10 bytes aleatorios convertidos a dígitos 0-9; TicketUtils.js#L204 → createRequestHeader() lo asigna",OK,"Descripción correcta."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,sessionId,sessionId,sessionId,string,"Session ID that identifies the current session.","Session ID extracted from the last external response stored in ticket.cdiscExternalresponse. If there is no previous response it returns null.","TicketUtils.js#L218 → getSessionId() parsea ticket.cdiscExternalresponse y extrae response.data.sessionId; TicketUtils.js#L231 → buildRequest() lo asigna",Parcial,"La descripción del YML es correcta pero incompleta: no menciona que se extrae de la respuesta anterior ni que puede ser null en la primera llamada."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,├── id,data.id,id,string,"ID of the Ticket being handled.","ID of the current ticket. Also used in the response to validate that it matches the current ticket.","TicketUtils.js#L549 → getTicketToSend() asigna ticket.id; TicketUtils.js#L601 → generateOBDiscounts() compara currentTicket.id !== extEngineResponse.ticket.id",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,├── organization,data.organization,organization,object,"Object that contains information of the organization doing the request.","Object with organization info. Built in createRequestHeader() from context.organization.","TicketUtils.js#L206-L210 → createRequestHeader() construye data.organization con id, _identifier, searchKey del contexto",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   ├── id,data.organization.id,id,string,"Organization ID.","Organization ID from the terminal context.","TicketUtils.js#L207 → createRequestHeader() lo obtiene de context.organization.id",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   ├── _identifier,data.organization._identifier,_identifier,string,"Name of the Organization.","Organization name from the terminal context.","TicketUtils.js#L209 → createRequestHeader() lo obtiene de context.organization._identifier",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   └── searchKey,data.organization.searchKey,searchKey,string,"Searchkey of the Organization.","Search key of the organization from the terminal context.","TicketUtils.js#L210 → createRequestHeader() lo obtiene de context.organization.searchKey",OK,"Descripción correcta."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,├── priceIncludesTax,data.priceIncludesTax,priceIncludesTax,boolean,"Boolean that indicates whether the prices includes taxes or not in the system.","Indicates whether prices include taxes. Determines which price fields are sent in the lines (gross vs net).","TicketUtils.js#L564 → getTicketToSend() lo copia de ticket.priceIncludesTax; TicketUtils.js#L513-L533 → reduceLines() usa isPriceIncludingTaxes para decidir si enviar baseGrossUnitPrice/grossUnitPrice o baseNetUnitPrice/netUnitPrice",Parcial,"La descripción del YML es correcta pero no menciona que condiciona qué campos de precio se envían en las líneas."
