Issue Severity,Endpoint,Section,Tree,Field Path,Field Name,Type,YML Description,Real Description (from code),Code Reference,Match?,Notes
✅ OK,LOGIN,REQUEST,action,action,action,string,"Action name (enum: LOGIN)","Fixed value 'LOGIN'. Defined in ExternalOrdersUtils.js → getExternalOrdersConfigurationAction(). Assigned in buildRequest() to the payload.","ExternalOrdersUtils.js#L29 → getExternalOrdersConfigurationAction() devuelve 'LOGIN'; ExternalOrdersUtils.js#L93 → buildRequest() asigna commonRequestData.action",OK,"Descripción correcta."
✅ OK,LOGIN,REQUEST,terminal,terminal,terminal,object,"Common terminal object (injected from commonClientAPIProperties-schema)","Terminal object built with OB.EVTCLI.createTerminalObject(terminal, context, {}). Contains terminal and context info.","ExternalOrdersUtils.js#L82 → createRequestHeader() construye terminal con OB.EVTCLI.createTerminalObject()",OK,"Descripción correcta. Se inyecta desde el schema común."
✅ OK,LOGIN,REQUEST,serviceId,serviceId,serviceId,string,"Common service ID (injected from commonClientAPIProperties-schema)","Random 10-digit ID generated with crypto.getRandomValues(). Uniquely identifies each call.","ExternalOrdersUtils.js#L72-L75 → createServiceID() genera array de 10 bytes aleatorios convertidos a dígitos 0-9; ExternalOrdersUtils.js#L83 → createRequestHeader() lo asigna",OK,"Descripción correcta."
✅ OK,LOGIN,REQUEST,data,data,data,object,"Contains additional information of the request","Request data object. For LOGIN it is sent empty (no additional payload).","ExternalOrdersUtils.js#L99 → getExternalOrdersConfiguration() llama buildRequest(payload, 'LOGIN') donde payload es vacío; ExternalOrdersUtils.js#L89-L93 → buildRequest() hace spread de requestData en data",OK,"Descripción correcta. En LOGIN el data es vacío."
✅ OK,LOGIN,RESPONSE,├── label,data.label,label,string,"Title of the External Order service","Title of the External Orders service. Displayed in the UI as the identifier of the connected external service.","ExternalOrdersSimulator.js#L101 → devuelve 'Openbravo External Orders simulator'; loginResponse-schema.yml → description: 'Title of the External Order service'",OK,"Descripción correcta."
✅ OK,LOGIN,RESPONSE,├── version,data.version,version,string,"Version number of the External Order service","Version number of the external service. Informative.","ExternalOrdersSimulator.js#L102 → devuelve '1.0.0'; loginResponse-schema.yml → description: 'Version number of the External Order service'",OK,"Descripción correcta."
✅ OK,LOGIN,RESPONSE,├── filters,data.filters,filters,array,"List with the definition of the external orders filters.","Array of filter definitions for external order search. Used in the UI to render the search form. Each filter defines field, label, type, and optionally mandatory and scanFilter.","ExternalOrdersSimulator.js#L105-L121 → devuelve 3 filtros (documentNo, date, externalBusinessPartnerReference); loginResponse-schema.yml → required: [filters, columns]",OK,"Descripción correcta."
✅ OK,LOGIN,RESPONSE,│   ├── field,data.filters[].field,field,string,"Identifier of the filter field. Used in the search request.","Filter field identifier. Sent as field in the filters array of the SEARCH request to identify which filter is being applied.","ExternalOrdersSimulator.js#L107,L112,L117 → 'documentNo', 'date', 'externalBusinessPartnerReference'; GetExternalOrdersList.js#L12 → filters se pasan directamente al SEARCH request",OK,"Descripción correcta."
✅ OK,LOGIN,RESPONSE,│   ├── label,data.filters[].label,label,string,"Label to be displayed in the filter dialog to the cashier. It is an internationalized value.","Label displayed to the cashier in the filter dialog. Internationalized value.","ExternalOrdersSimulator.js#L108,L113,L118 → 'Document No', 'Order date', 'Business Partner'",OK,"Descripción correcta."
✅ OK,LOGIN,RESPONSE,│   ├── type,data.filters[].type,type,string,"Filter fixed value type (enum: string, date, customerFilter)","Filter type. Determines the UI component that is rendered: 'string' = text field, 'date' = date picker, 'customerFilter' = customer (BP) selector.","ExternalOrdersSimulator.js#L109,L114,L119 → 'string', 'date', 'customerFilter'; loginResponse-schema.yml → enum: [string, date, customerFilter]",OK,"Descripción correcta."
✅ OK,LOGIN,RESPONSE,│   ├── mandatory,data.filters[].mandatory,mandatory,boolean,"Whether this filter value is mandatory to be filled in or not. By default it won't be mandatory","Indicates if the filter is mandatory. Default false. In the simulator only externalBusinessPartnerReference is mandatory: true.","ExternalOrdersSimulator.js#L120 → mandatory: true (solo en externalBusinessPartnerReference); loginResponse-schema.yml → 'By default it won't be mandatory'",OK,"Descripción correcta."
